,labels
64757,15
20855,15
31895,15
11099,10
18484,30
17179,30
1266,15
65431,13
41333,15
41582,18
1065,15
44439,30
7865,15
24194,16
77874,15
55557,16
25763,6
33418,18
87110,18
70777,30
22808,18
6678,15
24106,13
53476,15
15251,30
28619,15
43499,30
69341,18
15191,15
18843,18
90158,18
85032,13
3281,15
81383,13
67872,18
10897,15
74799,13
11862,18
44157,15
46564,30
11006,0
77823,30
80314,35
45945,16
78046,15
9817,13
59604,15
8676,18
40867,18
26960,8
1726,15
74288,30
96562,15
39512,15
17568,15
76868,15
48293,18
99327,15
42244,15
26897,15
97941,15
3147,15
10419,37
72988,16
59928,15
36843,15
8760,15
86979,15
92131,18
50122,21
60189,39
17155,30
12530,0
79708,23
65776,13
92357,18
20232,18
88342,15
20011,16
93724,18
6069,13
42681,30
56633,13
31129,18
24101,15
72410,30
61819,15
39006,18
10398,30
24455,30
72247,30
75727,13
67340,18
36097,15
95844,37
25867,13
57448,15
31917,13
54350,15
57128,18
26086,15
7221,18
79652,15
24735,30
11657,13
51571,15
44296,15
12622,15
60832,13
91454,0
81321,15
59689,15
69678,13
46187,29
9367,0
99747,15
21885,18
66246,18
60116,13
98379,15
8306,30
55563,30
7847,15
95312,15
97365,30
9569,18
12476,30
81534,15
42678,30
86524,30
93583,15
8283,18
53959,13
83026,13
47445,18
34614,30
53203,13
88845,15
70419,30
32464,18
6198,15
31044,15
71362,13
70237,13
24895,18
77687,15
85511,13
28164,13
39564,13
29185,18
32190,15
66239,12
4327,15
13035,13
90634,15
94289,13
35983,15
32756,37
28163,15
96825,30
7268,13
72226,13
14824,30
1045,15
91455,15
51195,29
35018,23
94773,15
18430,18
83364,30
50987,18
96281,13
11861,18
97234,15
64288,30
28050,18
54371,15
62134,13
85024,15
53490,18
13602,15
76631,30
928,15
85440,15
34924,15
30343,18
16735,13
90857,13
63743,13
55159,18
30860,15
64455,13
23628,18
76952,13
75929,15
12780,13
39899,15
28789,18
7479,15
83963,30
3768,15
70557,8
50174,30
16415,15
95076,15
732,15
12324,10
88851,30
27268,37
29561,15
63811,13
44917,15
27862,30
85371,13
28484,30
77887,13
14130,15
39479,18
98630,39
90838,18
65506,15
62128,18
94264,13
98143,15
53386,13
29119,15
60993,39
15809,30
41364,18
43286,15
66988,30
34853,15
72101,18
30966,35
52271,18
3801,18
51004,18
54593,1
24566,30
62331,13
2553,15
56637,0
19761,30
9514,13
29411,15
93968,39
57559,39
66243,13
73694,21
10278,13
86873,29
32715,27
14109,30
66432,30
36665,18
15639,39
84395,13
51768,15
74468,13
444,15
11261,15
64579,0
82712,11
12163,13
49051,13
32437,29
5554,30
51745,0
42431,13
72117,18
48186,18
53891,15
34191,30
97594,15
17042,15
22269,15
25847,16
13765,15
66450,15
8993,15
95644,16
7791,13
98712,15
87515,13
86827,13
99300,13
93121,21
9253,15
59321,13
45500,30
68628,13
96060,13
6870,15
67013,13
58286,15
62252,13
32665,13
70746,13
71151,30
22884,18
77554,13
63816,15
75946,18
70661,15
69121,30
64483,15
55841,18
75993,13
18429,18
58307,13
31036,15
85342,13
91373,15
74277,15
97046,16
26378,13
2692,13
73254,30
39655,30
88988,15
5880,39
97532,13
39431,16
27141,30
88556,16
52899,13
37874,30
60380,15
47241,15
29400,15
49760,15
16518,15
72834,13
416,15
70343,13
38968,13
378,15
25994,15
38363,15
30993,15
80156,16
13674,18
13409,30
17832,18
75492,15
6460,15
61388,15
64017,18
67286,13
46247,30
91726,15
7699,15
73024,13
54617,15
45074,13
34250,18
1036,13
39368,13
72103,18
19288,15
54942,30
6261,16
89109,13
60461,15
55121,10
80045,15
31739,18
80792,15
6022,15
97029,29
76240,13
23293,37
73527,18
95275,18
86734,30
45539,16
55213,13
79948,15
76425,13
32807,0
63666,30
99377,15
50712,16
15236,30
77144,15
74886,15
60929,30
10317,30
5509,30
71733,17
27324,13
40831,15
7912,15
27742,30
63475,5
56370,16
73617,13
82491,13
34355,18
812,16
19845,30
52309,16
71535,29
54136,13
54782,13
24345,18
2374,15
53189,16
61472,33
42741,30
83514,16
90116,15
63586,15
7501,13
8692,15
3923,18
14829,15
10962,39
50021,16
24023,13
32515,8
56267,18
76615,15
29558,18
8937,15
21375,30
10255,15
33171,13
91841,13
41980,18
83243,5
33510,13
77807,15
93992,13
51877,13
59341,39
19064,30
84786,16
6029,39
99765,30
92249,15
90039,15
95700,15
53471,15
11343,13
56179,16
584,30
1409,16
37678,15
65539,18
88485,15
12094,15
59772,16
48295,18
75201,13
32875,37
78045,30
10616,15
30996,15
94608,16
54156,18
937,15
53252,15
95200,15
61577,15
1531,15
53414,13
77858,13
47991,39
64613,18
2007,39
78720,13
36395,13
66052,30
95512,0
70042,9
70908,18
91426,15
16234,15
87912,16
532,15
50035,13
53440,13
21542,15
72530,30
41109,18
12550,0
49290,18
61399,15
66112,13
58686,15
44839,15
70841,12
85418,13
24991,18
45701,13
13739,15
38411,13
10588,16
67366,21
5927,15
40257,15
55000,27
57083,13
7028,15
6716,15
72452,13
53998,16
89410,13
12337,15
48829,30
66683,13
43930,30
93660,15
97286,13
31298,13
78582,15
33213,37
45099,15
83244,13
46943,15
83140,15
99424,30
44615,15
71124,18
70740,13
49265,13
39332,15
90917,15
95819,15
92458,15
8000,15
20094,13
99586,15
7000,15
77059,30
2960,18
90070,15
68929,33
90480,18
20462,15
7690,39
94690,18
63610,30
96414,15
99163,30
73695,30
55304,15
75994,13
97884,13
84743,21
35611,15
13186,30
80965,15
8007,30
33826,15
77434,18
13715,13
68272,13
40131,18
96461,13
15019,13
50553,13
72816,30
12746,38
92099,29
6929,15
98264,18
64257,18
85765,15
86280,15
93538,30
61476,29
90807,0
48221,30
7418,13
4116,13
90522,15
35135,15
43601,18
10622,13
6553,16
24254,18
6992,16
6866,15
65727,15
38000,13
1481,18
7799,15
56982,18
88622,30
8037,16
81981,15
20101,18
59468,13
70755,13
54134,18
45910,18
36830,15
18649,39
62133,18
55678,13
62591,18
38679,15
85306,15
80074,15
46935,18
64341,18
48249,15
54217,39
5938,15
10279,13
14228,15
40848,15
94443,13
46777,30
86327,13
76970,15
65011,15
67195,12
80477,15
67190,15
88949,18
35986,13
85244,13
63565,18
88737,16
32640,16
77414,13
58439,15
83568,18
2069,13
64666,15
71845,13
85364,13
96608,15
37740,37
74549,13
20732,18
83745,15
95870,30
61209,15
62779,15
82388,13
74138,18
18822,13
4714,15
41789,18
60816,15
40232,18
19815,30
39113,16
14350,18
52266,15
81320,18
72517,15
58759,30
20756,18
18534,15
80276,37
84151,0
35973,16
92003,15
78952,15
22026,13
38082,30
14704,39
14310,18
8766,16
83600,13
398,15
39040,15
69379,15
42052,39
93547,13
72042,30
71263,30
77027,13
55658,13
11514,15
63128,30
90957,13
38283,15
91737,30
689,30
81647,30
61782,15
4283,30
79024,15
76708,15
58398,15
66584,18
4615,15
59855,30
60354,5
35885,16
13214,16
31735,13
85186,15
74347,18
5495,30
30437,3
61983,18
40992,18
82909,15
5074,16
62351,15
58542,15
60304,15
96009,39
69869,15
30482,13
21844,30
84261,13
90172,13
90775,15
224,13
97221,15
21286,15
17180,15
51061,18
38258,15
67640,15
19740,15
18247,15
59298,13
95736,15
13700,15
88669,13
15931,15
52316,18
55632,15
73400,30
74620,30
22622,37
35972,15
42575,15
97873,30
32054,16
20725,15
73101,29
53290,30
84188,15
26786,15
25364,15
47987,39
74795,15
69078,15
33756,15
33825,16
88353,15
96773,30
92955,13
91104,15
96359,18
79362,15
58864,30
51123,13
43878,30
32794,0
58445,38
97657,21
99543,13
26586,15
17782,18
5994,39
99683,18
98355,13
19066,18
94886,13
92690,12
74210,15
56464,15
46846,15
95021,13
34065,18
48222,15
82992,0
97279,13
66491,8
38879,18
51365,13
55791,18
64469,18
61676,15
92418,13
2661,39
59221,13
58228,39
99900,38
56805,15
87308,15
5541,16
43406,16
71399,39
97248,15
54777,15
14278,15
30684,16
96231,15
73917,15
12614,15
27204,18
87030,15
11661,16
75331,15
97908,15
62144,15
75,15
2234,16
82821,15
87150,15
74372,13
73829,16
27394,39
87566,16
4773,15
46486,18
4011,30
46723,15
49035,15
78411,15
89861,13
85285,16
38260,18
7758,39
1588,15
29496,29
36275,15
91858,15
74396,30
26982,18
48368,18
57191,13
89401,15
43452,16
35909,15
34242,15
85576,16
40886,30
10736,13
67536,15
94939,15
15998,13
97045,15
96943,15
94011,13
96056,13
93183,37
95345,15
21461,15
81786,16
95490,15
14201,13
56648,30
17585,15
34457,37
76504,15
25298,15
81219,15
63601,15
98343,15
70463,12
26613,13
4316,18
68592,13
62296,30
22052,6
67646,13
63961,13
47895,15
57437,30
77406,15
75021,30
74180,18
71735,13
16218,15
62767,13
93182,15
30670,15
76767,15
60749,15
86919,15
83979,18
50205,16
74829,30
74437,15
78309,16
40763,18
93692,13
40958,15
26943,13
71096,18
92395,18
48633,8
99762,15
78375,38
32578,30
80068,15
52970,36
77634,29
4996,15
15414,16
55456,12
58681,15
17260,15
60731,13
12534,13
16997,13
33424,37
25805,15
2767,15
11913,15
39019,13
77711,15
89461,15
77553,39
71641,13
67790,12
26303,18
79942,15
65988,13
36939,16
3446,13
84598,13
16943,15
19005,13
70990,10
29000,15
14352,18
67679,0
31343,15
10445,13
47887,16
40995,18
5878,39
57009,18
18498,18
94118,18
57982,13
29553,39
61229,15
79719,13
49446,15
76079,16
9164,18
71824,13
31538,37
51425,13
60570,13
32477,15
36408,30
98523,15
1446,18
42992,13
91605,39
52427,13
92902,15
17198,15
41228,15
14142,15
7974,15
39229,30
51864,30
72572,39
3437,16
48782,15
76444,18
5126,30
30904,13
56262,13
21794,18
85507,15
63015,15
43067,13
22695,15
30124,16
77336,15
93800,39
35782,18
92164,13
23514,13
47155,13
28118,15
46639,30
48387,15
61724,15
4919,18
22614,13
29890,21
56087,15
37985,21
62973,39
8851,15
40433,13
35151,5
96558,15
8371,39
87499,16
90501,15
77860,13
99655,15
55719,13
36255,18
43759,18
94076,16
85921,18
99596,15
84896,13
85878,37
99798,39
79202,25
93911,15
73819,15
29261,18
75227,16
69663,18
27169,15
8288,21
39911,30
19407,15
70639,13
7178,15
54639,15
69343,16
72900,18
6252,16
18232,30
749,15
30165,18
36982,13
66240,18
57362,0
55280,15
78209,15
5523,30
43907,30
74702,15
35420,15
95737,13
8222,18
43074,13
79438,13
82484,20
74026,13
98127,15
55356,13
54721,16
39469,15
35364,16
89062,18
38826,21
15436,30
15608,18
45493,15
70792,13
3715,15
83960,18
98160,30
87458,13
96217,15
29531,16
10305,15
89136,15
23431,15
25893,15
9263,13
21199,15
93855,18
90623,18
270,15
39898,15
44179,30
93461,18
50116,21
19601,15
73469,13
9202,18
52713,39
93433,15
6536,15
23563,18
51462,15
17979,30
87857,15
13939,13
55162,15
40435,39
6556,15
90121,18
77182,15
82171,15
23787,13
28737,18
69623,15
14652,16
25681,15
21973,18
60808,18
59866,13
71222,13
38143,15
23121,16
4680,30
86736,18
96121,15
21423,10
47724,30
298,39
70844,15
27261,15
58304,13
65910,15
25914,13
92461,18
8077,30
25699,15
46617,16
86126,25
62039,15
95171,15
51912,15
44113,15
87178,13
14978,13
86014,16
39055,18
65167,18
51411,18
34647,15
35329,21
95580,37
62059,13
27035,15
45070,13
38612,16
86449,13
66405,13
61866,39
96865,13
65938,13
50754,13
50288,10
80474,15
96806,15
64733,30
8780,18
93490,18
97850,15
70695,15
64729,13
98002,18
23834,15
89582,16
66119,21
20742,18
92580,15
35627,13
8453,15
24159,15
61341,13
16745,15
5524,16
71757,15
17103,16
27646,15
52892,15
78524,30
75255,15
50441,6
9620,16
68919,18
9125,30
96841,15
24531,13
21208,15
83415,15
60962,39
64370,13
52657,10
73038,30
64723,13
62113,13
48657,15
48538,16
5675,13
371,18
90083,15
27993,0
74352,18
23704,37
40560,15
89851,15
97094,15
36633,13
55534,16
83336,15
85264,15
82672,30
83919,15
44010,16
87684,15
46259,16
63723,15
31781,16
81294,15
65833,13
67952,13
50921,36
75593,13
82249,15
50002,18
42006,18
16552,30
4198,15
87155,16
6440,15
13023,16
34786,15
79205,13
61651,39
37779,15
24805,15
69159,21
86976,13
59796,15
86952,30
1941,15
61596,25
86079,18
38469,15
76761,18
35878,15
36641,15
32866,30
58601,0
57790,13
11022,15
40655,15
1647,30
49789,15
99323,15
56950,15
2571,15
48289,18
25458,15
48251,16
61155,15
3112,18
95295,18
10521,8
39516,13
36309,15
15101,16
98554,13
31167,15
14209,15
40168,39
6679,30
68156,15
91326,30
96963,15
59300,15
19774,21
87299,13
79917,15
63344,15
73964,15
34856,15
73948,18
50212,18
41889,13
19748,15
10957,13
56600,13
79742,18
24809,8
92701,13
45253,30
7668,15
46734,18
63298,30
18754,10
12040,15
9910,15
61548,13
163,30
84324,15
67696,39
14481,30
78074,15
71270,30
72522,12
14221,15
29137,15
11289,13
9233,39
80287,13
51612,15
51986,39
44903,13
79389,16
22595,13
85934,15
14438,16
57170,13
16773,15
56008,18
87079,15
19070,0
89560,18
35208,15
54361,13
87966,15
22464,13
36971,13
30365,33
40265,18
76695,39
17898,13
87407,15
59910,15
37220,16
43987,30
64294,15
19441,16
89762,15
2440,15
87370,15
24578,18
89740,15
64005,13
18559,30
29584,21
98730,5
7127,37
37008,16
9857,13
2564,15
34862,15
29388,18
64018,18
22273,15
72086,13
442,13
18833,15
49010,16
32724,15
24574,30
14590,30
21735,13
33675,21
31429,13
83977,13
94332,13
59777,16
31287,16
15387,16
87735,18
13416,18
33190,18
28378,21
70723,13
6284,30
3234,15
86584,18
42786,18
53115,15
24442,15
97797,15
22372,18
30778,15
19377,16
55844,15
11615,13
59022,6
42709,39
48323,15
44542,18
46454,15
23083,18
89351,15
22110,15
75270,15
24088,18
57776,13
68498,13
40647,18
90934,15
49977,30
23373,16
75365,16
89049,13
16667,15
80192,15
41217,15
67388,37
95082,30
8375,15
50892,13
52521,30
13307,15
74736,18
95687,30
80300,13
95934,15
72033,13
69246,30
36253,30
13841,15
89605,30
10097,15
15430,15
43279,13
9358,13
58097,13
91523,16
60136,18
62877,30
71210,18
18074,38
17454,13
47459,18
87404,16
67382,29
33491,15
66908,0
28824,39
78348,13
16201,16
23189,15
73275,13
59210,10
62098,13
37865,15
3819,15
56610,15
76117,30
50947,39
60416,39
47293,13
63861,13
42485,13
67680,15
26558,13
20904,18
64240,18
9335,39
12335,15
50940,18
59674,39
45433,18
54720,30
96303,0
92782,13
62532,13
84448,12
38591,39
38768,15
56587,15
49082,15
48271,18
56122,0
53134,16
64665,18
92601,15
3925,13
15983,13
86647,18
33548,13
83303,13
43521,15
1206,16
86756,15
35466,13
47507,15
60636,16
87448,15
75560,15
34868,15
49783,13
42479,13
83335,15
46481,18
39787,13
62604,13
50080,13
74197,18
69408,13
89069,13
96227,18
3634,13
31906,16
91147,15
61245,13
65937,13
3463,39
25013,30
79613,15
88736,18
99932,15
19432,30
77926,15
44234,15
52033,39
57631,29
8778,13
34691,39
90759,13
18666,15
23578,15
38644,15
59967,13
47689,13
48092,16
11385,30
51485,30
78432,13
9625,15
36551,18
32289,15
77990,13
44259,30
96096,18
37789,15
54497,15
14208,15
83817,15
20862,6
16281,16
28926,15
77779,15
58829,15
753,16
63845,18
94232,15
62426,13
80519,13
97457,29
43284,16
35274,15
30941,30
86612,13
10067,13
78335,15
86320,13
27231,16
46908,13
5923,30
80337,15
68351,18
29533,15
60691,18
83492,30
91905,13
80673,13
64904,15
14124,15
2423,39
12124,16
25866,15
2000,39
90958,16
98000,15
24827,16
24846,13
58165,15
14959,16
92286,13
62829,13
58208,15
52501,18
56127,18
75857,15
19007,39
48046,13
28496,13
14702,15
88220,13
25406,13
67781,33
7655,39
90326,15
57395,12
57505,18
30087,18
95899,15
64912,21
92837,15
85389,30
51862,13
64896,29
17246,15
26746,38
3056,18
63148,15
55416,21
11198,13
2644,39
66421,15
70862,13
10059,15
55975,13
8279,18
87870,15
37519,13
11933,13
97500,15
80877,30
79442,30
52903,15
12615,13
70611,13
55185,15
17731,15
17217,6
62807,16
87866,18
37840,13
94492,16
94872,15
24301,15
31362,15
44567,18
52132,13
88554,8
16035,16
64354,18
95294,15
3717,18
60683,15
65712,13
57328,30
75782,13
50924,39
14631,30
78469,15
8792,15
28714,15
19426,15
43583,13
31452,16
43210,15
34937,15
90514,15
34141,16
32772,15
36589,15
6606,13
6597,15
9036,38
17342,16
85937,18
13218,15
64446,15
14855,15
47174,30
70466,12
14064,37
9320,16
18070,21
6313,39
46621,15
48864,13
95124,13
77938,15
21264,15
18868,37
98725,15
9041,15
18748,13
40309,15
61826,15
7345,39
16528,15
24962,30
65532,16
40263,15
46435,30
38204,15
39395,13
34820,15
5966,13
90184,16
98396,13
27636,13
92252,15
52170,15
55173,15
85099,15
92137,15
386,16
44669,13
57393,13
5784,16
23608,15
44220,13
28536,15
35763,0
3665,13
2509,13
9080,30
19137,18
34748,15
12638,30
55833,18
39155,13
31738,13
12497,30
88696,13
91702,13
48116,15
64679,18
20091,15
89710,15
73659,18
13975,15
4516,15
22135,15
86992,18
53615,16
94580,15
51890,13
44211,30
99137,8
85543,38
12453,16
73238,30
95549,16
81103,15
76566,16
29971,15
785,18
56134,15
30818,13
22210,13
41514,13
17948,21
69470,13
52498,33
20873,15
35016,15
73518,13
91178,16
76834,15
85443,15
32435,30
84959,21
40038,15
36569,39
41132,13
87712,15
3568,18
67246,18
32147,15
20856,15
90614,15
71365,15
95378,15
25052,39
30459,15
77209,15
11736,15
26413,15
21489,0
32809,15
4330,38
91804,30
50965,13
95383,15
2323,18
38097,30
503,13
58548,30
18470,30
33178,18
71462,15
24705,13
82864,15
44889,30
58016,15
34527,16
90133,15
54266,18
64796,30
23637,13
83486,18
9008,30
34165,18
28478,30
87961,30
37174,13
80195,15
82486,30
55107,15
54513,15
88640,5
73692,15
32782,16
97258,30
52532,13
25331,13
96829,5
60533,0
10245,18
9478,15
27946,30
59560,15
66540,13
27346,15
98733,30
90102,13
5045,15
97266,15
75632,15
89897,16
50051,39
62761,13
74140,15
21202,16
19053,13
90432,15
66562,30
95875,15
29020,30
19717,13
43693,13
32451,18
77386,15
61686,18
69464,15
61888,30
91349,15
44097,30
81324,13
25981,13
35156,16
88431,15
90284,39
97141,30
67407,13
2298,18
74256,13
83123,15
4698,13
92151,18
839,16
8965,15
46359,16
33519,15
23846,15
51105,12
64533,37
70669,30
47818,36
48759,15
71997,15
46069,30
14608,30
89803,16
47687,15
23428,18
19649,15
47157,30
74062,13
60513,30
99554,15
39853,16
5872,13
76142,12
8093,13
95668,13
20719,18
35480,30
67507,13
1693,15
3906,18
81469,13
92185,15
98105,13
24409,15
10427,13
29604,15
47183,15
55415,13
4642,15
30316,15
80635,13
5090,13
15625,15
99263,15
69294,13
27328,30
13244,30
97054,13
99745,13
41504,15
24030,18
90989,13
7520,30
48777,18
762,15
50730,15
46758,15
92192,33
38874,15
3181,6
51931,16
70627,13
9987,37
76630,15
87360,16
10410,23
37017,15
18702,15
53168,13
32192,30
21320,13
43766,30
76529,15
5172,15
44462,30
14760,15
22830,18
14764,15
11061,39
83032,15
90100,15
62884,15
33152,37
28224,16
70181,36
11428,15
31498,15
2706,18
88182,13
3636,18
14639,16
25687,13
55877,15
97591,0
36370,0
29993,15
13222,13
55566,15
69478,13
68956,39
20048,13
39535,33
52443,18
24692,16
42930,30
7414,13
45789,18
42746,18
22408,15
81649,0
70168,13
34742,15
23537,30
46951,15
67643,15
82134,15
71176,18
34682,13
66148,18
69794,13
89678,15
1739,30
34711,15
27790,30
15986,18
86692,27
83958,13
85800,18
10875,13
32687,13
31940,30
97563,30
37263,13
28148,15
29334,18
6200,15
18725,13
56365,15
38719,18
6385,37
38600,15
82104,18
1183,15
72541,30
57368,18
35068,15
53264,15
48617,13
73300,13
7869,13
63281,5
25993,13
65830,10
73162,30
62513,18
55122,18
99088,30
59624,30
60553,13
54562,30
50507,16
53821,15
83109,15
13113,21
18877,15
70580,13
49498,18
60751,13
80784,13
43646,15
73971,13
2664,18
28806,15
29245,30
43347,15
94329,13
21549,13
74695,16
84648,15
38925,15
16126,15
69151,15
47934,13
63175,16
88752,18
65328,15
76308,18
42141,18
29759,18
71209,13
50717,30
15067,13
91614,16
75267,30
24444,30
84104,15
90033,15
29017,37
54969,21
9365,0
40410,13
61104,18
7556,30
48179,30
79105,15
82312,18
52653,10
31382,18
27672,18
38934,18
85659,10
37440,15
83615,13
44665,15
57815,39
49964,16
23044,13
86408,15
69989,18
30448,37
59320,13
32482,15
41397,13
74816,18
64967,30
90823,15
86222,18
71658,13
96691,15
21689,13
71404,13
469,18
63502,30
44125,15
15719,15
6630,18
25277,18
56224,15
80561,15
95430,15
7666,15
10030,13
68169,15
93124,15
72204,30
38211,15
72019,13
48196,13
9824,13
66417,15
96675,15
16067,15
69306,18
7599,37
2497,15
28804,15
3974,38
57370,13
92523,13
37164,13
39780,13
91881,13
11389,15
99877,16
1622,13
53019,18
59793,15
32369,13
9876,15
21045,15
28197,15
88885,37
57569,15
86706,13
41952,21
31764,35
4308,16
42461,15
33262,13
27307,16
95684,18
4219,13
66137,15
41657,39
41816,13
16724,30
583,16
23906,13
86064,15
22182,13
51117,15
10162,15
11781,15
98382,15
84403,39
44982,18
36187,15
92276,15
96175,13
67668,18
79056,15
26745,37
53381,13
84749,15
87089,15
3877,12
85090,15
42139,13
98509,30
85678,15
6000,15
50375,30
4752,16
45410,16
46333,15
44814,13
72871,13
72563,13
81076,16
55181,13
72713,13
38252,18
71269,16
5186,13
25415,16
81117,30
33705,30
87107,15
34639,30
78552,15
59874,18
81038,15
72723,8
31719,18
44921,16
96499,30
61680,18
25790,15
62669,13
10571,16
19931,15
32420,15
95392,15
90484,8
84591,15
39861,16
64490,13
73265,18
96192,13
85505,13
42872,13
54928,15
33508,16
48936,30
4430,30
65603,30
34884,15
36847,15
25307,30
48508,15
24491,38
48030,15
25155,0
96159,13
85252,15
21094,13
10142,39
4186,30
97133,18
21386,18
28518,18
81529,15
98662,16
83976,15
23382,30
10502,15
34417,13
16688,15
94480,30
10043,13
63867,16
25808,29
55493,33
73023,13
34830,16
98684,18
28505,30
60648,15
8582,13
53885,30
37567,13
8668,13
20852,15
47054,15
5493,16
6746,39
57065,18
49646,18
52694,13
35814,30
66331,15
97447,18
65371,12
22361,16
246,18
70247,13
21297,38
62254,13
3545,15
30037,15
65127,15
67538,15
23959,15
49008,30
8685,15
74278,13
68906,13
94750,13
51637,13
47268,30
99653,15
91583,15
32991,16
54738,39
72941,30
85536,16
68721,18
89490,13
1858,12
68051,13
50045,30
478,30
4520,15
73570,0
10714,30
93132,30
89148,15
5430,21
52698,13
94913,18
82014,15
46262,30
78963,13
25484,16
78727,15
18408,18
28128,18
90351,15
65952,29
13514,18
73444,15
19233,36
85229,13
35410,15
46050,30
45944,15
79430,12
3957,18
58170,12
21779,15
61405,12
32864,30
556,16
27951,16
50086,16
71674,13
45794,18
24997,13
64378,13
32201,16
10290,18
7346,15
40610,18
91342,30
61314,13
89957,18
47223,13
17804,18
78932,29
68338,0
51810,16
49589,39
9822,15
14479,13
41259,21
84500,18
9517,18
50971,39
86487,13
40229,18
76019,15
44303,15
11138,15
53249,15
31214,15
71802,13
90357,13
35400,15
976,16
40447,13
15525,30
33198,30
80410,16
67362,18
1742,15
63691,30
78525,30
78839,15
23550,15
67685,15
28219,16
96384,15
45823,15
32197,10
52958,21
79576,15
4413,15
6510,15
9334,39
69891,13
47495,15
29194,30
99916,15
35937,15
63682,18
95854,8
2877,15
36676,15
55525,13
96424,13
50824,16
61757,18
8167,15
83641,15
32066,18
51837,15
88230,30
21239,18
87629,13
21220,15
52999,13
56891,0
40052,15
83161,30
97545,15
93298,13
25580,15
19944,15
6984,6
24849,0
90622,18
56175,15
12536,0
85607,13
34448,30
73865,15
47074,13
63206,30
86028,18
94632,18
71379,30
27510,13
82858,15
91513,15
250,30
67443,13
31522,13
84991,15
2028,15
60331,33
65155,18
87234,15
30943,15
86628,21
82256,18
79818,13
76438,15
43537,13
82502,13
99998,13
71532,18
31850,13
47444,15
13707,13
145,16
21898,15
57024,13
36921,15
4594,30
83594,15
24353,15
98404,12
63180,15
6568,15
12563,13
39614,18
30161,15
94800,18
9499,13
11475,13
42450,15
15097,15
82574,15
25812,15
68727,18
80221,0
16931,30
70074,15
86107,13
78384,15
40645,15
68440,13
12300,15
91062,15
9021,13
36655,16
13044,15
36528,16
90143,15
10288,15
2223,15
1813,13
45601,18
82929,13
76395,15
34474,13
8106,16
64858,39
45436,15
76164,15
92368,13
21288,16
93064,15
93426,16
87835,15
78311,18
61847,29
63960,13
34331,21
71397,18
38951,15
36879,15
9524,30
65404,18
57104,15
87537,18
41525,15
78490,15
37934,15
92979,13
77795,15
26069,5
37679,13
25161,0
60876,15
74740,30
45903,15
14811,15
9673,13
41015,18
90388,15
58484,15
6504,16
88050,15
64737,30
44251,12
93014,13
21700,13
30142,18
86271,37
28869,18
55677,15
13510,15
14654,30
80054,15
23681,18
4927,15
95324,13
88255,15
